Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
128,128,0,1,1,0,1,6611,16216
129,129,0,1,0,0,1,6611,16216
130,130,0,1,0,0,1,6611,16216
131,131,0,1,0,0,1,6611,16216
132,132,0,1,1,0,1,6611,16216
133,133,0,1,0,0,1,6611,16216
134,134,0,1,0,0,1,6611,16216
135,135,0,1,0,0,1,6611,16216
136,136,0,1,1,0,1,6611,16216
137,137,0,1,0,0,1,6611,16216
138,138,0,1,0,0,1,6611,16216
139,139,0,1,0,0,1,6611,16217
140,140,0,1,1,0,1,6611,16217
141,141,0,1,0,0,1,6611,16217
142,142,0,1,0,0,1,6611,16217
143,143,0,1,0,0,1,6611,16217
144,144,0,1,1,0,1,6611,16217
145,145,0,1,0,0,1,6611,16217
146,146,0,1,0,0,1,6611,16217
147,147,0,1,0,0,1,6611,16217
148,148,0,1,1,0,1,6611,16217
149,149,0,1,0,0,0,6611,16217
150,150,0,1,0,0,0,6612,16217
151,151,0,1,0,0,0,6612,16217
152,152,0,1,1,0,0,6612,16217
153,153,0,1,0,0,1,6612,16217
154,154,0,1,0,0,1,6612,16217
155,155,0,1,0,0,1,6612,16217
156,156,0,1,1,0,1,6612,16217
157,157,0,1,0,0,0,6612,16217
158,158,0,1,0,0,0,6612,16217
159,159,0,1,0,0,0,6612,16218
160,160,0,1,1,0,0,6612,16218
161,161,0,1,0,0,1,6612,16218
162,162,0,1,0,0,1,6612,16218
163,163,0,1,0,0,1,6612,16218
164,164,0,1,1,0,1,6612,16218
165,165,0,1,0,0,0,6612,16218
166,166,0,1,0,0,0,6612,16218
167,167,0,1,0,0,0,6612,16218
168,168,0,1,1,0,0,6612,16218
169,169,0,1,0,0,0,6612,16218
170,170,0,1,0,0,0,6613,16218
171,171,0,1,0,0,0,6613,16218
172,172,0,1,1,0,0,6613,16218
173,173,0,1,0,0,1,6613,16218
174,174,0,1,0,0,1,6613,16218
175,175,0,1,0,0,1,6613,16218
176,176,0,1,1,1,1,6613,16218
177,177,0,1,0,1,1,6613,16218
178,178,0,1,0,1,1,6613,16218
179,179,0,1,0,1,1,6613,16219
180,180,0,1,1,1,1,6613,16219
181,181,0,1,0,1,0,6613,16219
182,182,0,1,0,1,0,6613,16219
